BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate,ShipDateDay
ISP Services,ISP Services,PCs and Servers,ISP Services,Hardware,PC,Machine,Notebooks,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,FLRBC33,2020/06/03,954704,161292,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007975-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139973,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,PC,Machine,PMNA,PC HARDWARE NASHUA,N2060BVN3590,DELL VOSTRO 3590 I5-1021U,Non,None,,NTB,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,10150.0,10150.0,1.0,0,0.0,0.0,15,10150.0,0.0,0.0,1522.5,11672.5,16:10.6,1
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,D46034182,2020/06/02,954493,161090,1,3,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007961-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139906,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2025FWDI2.8,IP 2MP BULLT IR 30M 2.8MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1275.96,1063.3,1.0,0,0.0,0.0,15,1275.96,0.0,0.0,191.39,1467.35,16:10.6,1
Business Infrastructure,MFP,Colour,Business Infrastructure,Hardware,MFP-Ink and Laser Printer,Machine,Colour,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,CN012KX0BT,2020/05/29,954320,160930,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007964-01 ALIDA UPP,NASHUA,marli,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,406,DRIVE CONTROL,406_DRIVE CONTROL,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,NASHUA,0,139886,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,MFP,Machine,CMHD,MFP MACHINE HP DIGITAL,D3Q20B,HP PageWide Pro MFP 477dw,HP,HP Machines,,,,Y,Sold,Blank,,0.0,CCPM4,Col Seg 4 (30-49),Manual Invoice,1,1,1,0,7373.41,6392.0,1.0,0,0.0,0.0,15,7373.41,0.0,0.0,1106.01,8479.42,16:10.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/26,957961,164556,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,Customer Billing,0,Not Applicable,1900-01-01,820714,NASHUA UPINGTON,T/A NASHUA UPINGTON,,12,GROOTE SCHUURE AVENUE,UPINGTON,TECHNOLOGY BILLING,NASHUA,# NAS0000088,CONT TYPE : TECHNOLOGY,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,N,999,None,999_None,26,TECHNOLOGY,123,TECHNOLOGY,,0,0,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Non-Stock Charges,SERVICE NOW,*,NON-STOCK CHARGES,SERVICE NOW,Monthly Fee: June 2020,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Invoice Only,0,1,1,0,1350.57,0.0,,0,0.0,0.0,15,1350.57,0.0,0.0,202.59,1553.16,16:10.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/23,956994,163542,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,Cash,0,Not Applicable,2020-06-23,820714,NASHUA UPINGTON,T/A NASHUA UPINGTON,,12,GROOTE SCHUURE AVENUE,UPINGTON,ADVERT CLAIM - JUNE 2020,LERATON,CR DUE 1% ADVERTISING CLAIM,FOR THE MONTH OF JUNE 2020,ADVERTISING REBATE,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,N,999,None,999_None,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,CRAIGB,0,0,3,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Non-Stock Charges,ADVERT,*,NON-STOCK CHARGES,ADVERT,ADVERTISING,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Credit Note,0,-1,-1,0,5291.0,0.0,,0,0.0,0.0,15,-5291.0,0.0,0.0,-793.65,-6084.65,16:10.6,23
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/08,445198,733449,1,11,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,424873,Truck,2020-06-08,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,MARLI,LIZANNES,REFER INV 99916,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,Y,101,BLM MAIN W/H,101_BLM MAIN W/H,352,ALIDA VORSTER,109,BLM WAREHOUSE,LIZANNES,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC3503B,BLACK CART:MPC3003SP/3503SP,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,2,2,2,0,1463.0,1677.0,2.0,0,0.0,0.0,0,2926.0,0.0,0.0,0.0,2926.0,29:20.6,8
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E07908154,2020/06/02,954493,161090,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007961-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139906,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2025FWDI4,IP 2MP BULLET IR 30M-4MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1604.98,1337.48,1.0,0,0.0,0.0,15,1604.98,0.0,0.0,240.75,1845.73,16:10.6,1
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E07908183,2020/06/09,955376,161973,1,4,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007983-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,140140,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2025FWDI4,IP 2MP BULLET IR 30M-4MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1604.98,1337.48,1.0,0,0.0,0.0,15,1604.98,0.0,0.0,240.75,1845.73,16:10.6,1
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA VRYBURG,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,10810,7816,1,1,,21265,21265,SOLUTIONS PRO(PTY)LTD T/A,NASHUA UPINGTON,SOLUTIONS PRO(PTY)LTD T/A,P O BOX 4441,,BLOEMFONTEIN,9300,Select A Serial #,0,Truck,1900-01-01,21265,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,NOMBULELO,ELOISED,INCORRECT TONER BOOKED OUT SHO,ULD HAVE BEEN YELLOW INSTEAD O,F BLACK,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,1,,10802,Y,301,VRB MAIN W/H,301_VRB MAIN W/H,703,VRYBURG SERVICE,703,VRYBURG SERVICE,ELOISED,110620,7801,252,,A03,VERA HUISAMEN,3,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIMC3500B,IM C3500 BLACK,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Goods Returned,-1,-1,-1,0,0.0,1637.0,-1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29:20.6,1
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E09462294,2020/06/09,955376,161973,1,9,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007983-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,140140,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2025FWDI4,IP 2MP BULLET IR 30M-4MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1604.98,1337.48,1.0,0,0.0,0.0,15,1604.98,0.0,0.0,240.75,1845.73,16:10.6,1
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,D44773246,2020/06/11,955674,162278,1,10,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007983-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,140140,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2125FWDI4,HIK  IP DME IP67 2MP 4MM IR,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1275.35,1062.16,1.0,0,0.0,0.0,15,1275.35,0.0,0.0,191.3,1466.65,16:10.6,1
Business Infrastructure,MFP,Colour,Business Infrastructure,Hardware,MFP-Ink and Laser Printer,Machine,Colour,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,CN012KX0CC,2020/05/29,954320,160930,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007964-01 ALIDA UPP,NASHUA,marli,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,406,DRIVE CONTROL,406_DRIVE CONTROL,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,NASHUA,0,139886,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,MFP,Machine,CMHD,MFP MACHINE HP DIGITAL,D3Q20B,HP PageWide Pro MFP 477dw,HP,HP Machines,,,,Y,Sold,Blank,,0.0,CCPM4,Col Seg 4 (30-49),Manual Invoice,1,1,1,0,7373.41,6392.0,1.0,0,0.0,0.0,15,7373.41,0.0,0.0,1106.01,8479.42,16:10.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA VRYBURG,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/16,11778,7945,1,1,,21265,21265,SOLUTIONS PRO(PTY)LTD T/A,NASHUA UPINGTON,SOLUTIONS PRO(PTY)LTD T/A,P O BOX 4441,,BLOEMFONTEIN,9300,Inter-Fra Sale/Billing,0,,1900-01-01,21265,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,DSR TO PAY,DSRINVSRV3,FOR MACHINES IN VRB AREA,THAT ARE OWNED BY UPP,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,1,,0,N,999,None,999_None,703,VRYBURG SERVICE,703,VRYBURG SERVICE,DSRINVSRV3,0,0,0,,A03,VERA HUISAMEN,3,EA,,N,0.0,,0,,Non-Stock Charges,DSRCHARGE,*,CHARGES - INVOICE ONLY,DSRCHARGE,DSR:UPP prior 2020/06/15,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,442.43,0.0,,0,0.0,0.0,0,442.43,0.0,0.0,0.0,442.43,29:20.6,1
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA VRYBURG,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,10798,7795,1,1,,21265,21265,SOLUTIONS PRO(PTY)LTD T/A,NASHUA UPINGTON,SOLUTIONS PRO(PTY)LTD T/A,P O BOX 4441,,BLOEMFONTEIN,9300,Cash,3726,Truck,2020-06-10,21265,NASHUA UPINGTON,,,28,KORT STREET,VRYBURG,MARLIE,NOMBULELO,,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,1,,0,Y,301,VRB MAIN W/H,301_VRB MAIN W/H,706,VRYBURG CONSUMABLES,706,VRYBURG CONSUMABLES,NOMBULELO,0,0,0,,A03,VERA HUISAMEN,3,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC406BL,PRINT CART BLACK:MPC406,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,950.0,950.0,1.0,0,0.0,0.0,0,950.0,0.0,0.0,0.0,950.0,29:20.6,10
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,4EBCC309151,2020/06/04,99994,45156,1,1,,18798,18798,UPINGTON SETTLEMENT ACCOUNT,,UPINGTON SETTLEMENT ACCOUNT,P O BOX 2473,,UPINGTON,8800,Cash,0,Not Applicable,1900-01-01,18798,UPINGTON SETTLEMENT ACCOUNT,,,28,KORT STREET,UPINGTON,W EN A KUNSMIS BK,ANINE,KX-TES824SA,# 4EBCC309151,GU530321,999,Unknown,DIR,DIRECT ACCOUNTS,N,Quince Capital,0,N,999,None,999_None,100,SALES,100,SALES,ANINE,0,0,0,,BNK,R C & C FINANCE,1,EA,,N,0.0,,0,,Non-Stock Charges,SET,*,CHARGES - INVOICE ONLY,SET,SETTLEMENT,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,18951.28,0.0,,0,0.0,0.0,15,0.0,18951.28,18951.28,2842.69,21793.97,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100978,45458,1,3,,18420,18420,DEVOTED FINANCIAL ADVICE(PTY)L,RAMPIE & HENCO MANDAGE AGENT,DEVOTED FINANCIAL ADVICE(PTY)L,P O BOX 2740,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,18420,RAMPIE & HENCO MANDATE AGENT,RAMPIE & HENCO MANDAGE AGENT,,33 1S,T AVENUE OOSTERVILLE,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 082321,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,6.58,0.0,,0,0.0,0.0,0,0.0,6.58,6.58,0.0,6.58,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100978,45458,1,34,,18420,18420,DEVOTED FINANCIAL ADVICE(PTY)L,RAMPIE & HENCO MANDAGE AGENT,DEVOTED FINANCIAL ADVICE(PTY)L,P O BOX 2740,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,18420,RAMPIE & HENCO MANDATE AGENT,RAMPIE & HENCO MANDAGE AGENT,,33 1S,T AVENUE OOSTERVILLE,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 098656,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,25.38,0.0,,0,0.0,0.0,0,0.0,25.38,25.38,0.0,25.38,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100982,45462,1,5,,19266,19266,BV JOBSON CONSTRUSTION AND TRA,INING (PTY) LTD,BV JOBSON CONSTRUSTION AND TRA,19 ERTJIE STREET,KALKSLOOT,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19266,BV JOBSON CONSTRUSTION AND TRA,INING (PTY) LTD,,19,ERTJIE STREET KALKSLOOT,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 093259,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,22.17,0.0,,0,0.0,0.0,0,0.0,22.17,22.17,0.0,22.17,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100984,45464,1,8,,19528,19528,VAN ZYL AGRI (PTY) LTD,VAN ZYL AGRI,VAN ZYL AGRI (PTY) LTD,P O BOX 51,,KANONEILAND,8806,Cash,0,Not Applicable,2020-06-30,19528,VAN ZYL AGRI (PTY) LTD,VAN ZYL AGRI,,1,VOORUIT STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 089971,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,0.89,0.0,,0,0.0,0.0,0,0.0,0.89,0.89,0.0,0.89,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100985,45465,1,7,,19568,19568,METHODIST CHURCH OF SA UPINGTO,N CIRCUIT 519,METHODIST CHURCH OF SA UPINGTO,P O BOX 219,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19568,METHODIST CHURCH OF SA UPINGTO,N CIRCUIT 519,,33,BRUG STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 092177,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,22.88,0.0,,0,0.0,0.0,0,0.0,22.88,22.88,0.0,22.88,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100985,45465,1,9,,19568,19568,METHODIST CHURCH OF SA UPINGTO,N CIRCUIT 519,METHODIST CHURCH OF SA UPINGTO,P O BOX 219,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19568,METHODIST CHURCH OF SA UPINGTO,N CIRCUIT 519,,33,BRUG STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 093306,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,22.16,0.0,,0,0.0,0.0,0,0.0,22.16,22.16,0.0,22.16,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100989,45469,1,4,,20588,20588,A K KAGO TRADING (PTY) LTD,,A K KAGO TRADING (PTY) LTD,26 RAYMOND MAHLABA,NAVALSIG,BLOEMFONTEIN,9301,Cash,0,Not Applicable,2020-06-30,20588,A K KAGO TRADING (PTY) LTD,,,26,RAYMOND MAHLABA NAVALSIG,BLOEMFONTEIN,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 098867,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,7.85,0.0,,0,0.0,0.0,0,0.0,7.85,7.85,0.0,7.85,29:20.6,30
